symbol,company,weight,sector,shares_held
KEYS,Keysight Technologies Inc,5.80932494129002e-4,Information Technology,2048144
ETFC,E*TRADE Financial Corporation,5.804020809848999e-4,Financials,2848791
CDNS,Cadence Design Systems Inc.,5.783905141553807e-4,Information Technology,3085946
DHI,D.R. Horton Inc.,5.777199918788744e-4,Consumer Discretionary,3748707
SYMC,Symantec Corporation,5.775098281802679e-4,Information Technology,7043365
CMG,Chipotle Mexican Grill Inc.,5.7308638271436e-4,Consumer Discretionary,270174
LNC,Lincoln National Corporation,5.645497334328682e-4,Financials,2374585
XYL,Xylem Inc.,5.643195541439182e-4,Industrials,1963204
CE,Celanese Corporation,5.636490318674119e-4,Materials,1430476
DVN,Devon Energy Corporation,5.586751576670584e-4,Energy,5166331
SWKS,Skyworks Solutions Inc.,5.547020629838788e-4,Information Technology,1961040
AAP,Advance Auto Parts Inc.,5.51149295697912e-4,Consumer Discretionary,808905
ABC,AmerisourceBergen Corporation,5.47226239990591e-4,Health Care,1755330
TXT,Textron Inc.,5.437935662466852e-4,Industrials,2729502
EFX,Equifax Inc.,5.432731608977548e-4,Industrials,1312036
APA,Apache Corporation,5.417719916219943e-4,Energy,4172149
BHGE,Baker Hughes a GE Company Class A,5.402007677800315e-4,Energy,5574259
NRG,NRG Energy Inc.,5.390298557449382e-4,Utilities,3203755
TTWO,Take-Two Interactive Software Inc.,5.387996764559883e-4,Communication Services,1247884
TFX,Teleflex Incorporated,5.378089047339864e-4,Health Care,515300
HSIC,Henry Schein Inc.,5.37628764420895e-4,Health Care,1676087
CHRW,C.H. Robinson Worldwide Inc.,5.37098351276793e-4,Industrials,1523409
SIVB,SVB Financial Group,5.331853033646437e-4,Financials,577364
EXPD,Expeditors International of Washington Inc.,5.322545784136722e-4,Industrials,1911883
CINF,Cincinnati Financial Corporation,5.31804227630944e-4,Financials,1660053
HRL,Hormel Foods Corporation,5.297926608014248e-4,Consumer Staples,2982514
SJM,J.M. Smucker Company,5.289920371876858e-4,Consumer Staples,1239167
HOLX,Hologic Inc.,5.269904781533384e-4,Health Care,2983970
DOV,Dover Corporation,5.25139036046567e-4,Industrials,1621003
IT,Gartner Inc.,5.247087008541822e-4,Information Technology,991796
BR,Broadridge Financial Solutions Inc.,5.242883734569693e-4,Information Technology,1278076
EXR,Extra Space Storage Inc.,5.240281707825042e-4,Real Estate,1387947
VAR,Varian Medical Systems Inc.,5.235077654335738e-4,Health Care,1013551
TAP,Molson Coors Brewing Company Class B,5.199549981476071e-4,Consumer Staples,2053927
KSS,Kohl's Corporation,5.184137976911596e-4,Consumer Discretionary,1837807
DGX,Quest Diagnostics Incorporated,5.170327219574599e-4,Health Care,1482694
UDR,UDR Inc.,5.168525816443686e-4,Real Estate,3037185
KMX,CarMax Inc.,5.14510757574182e-4,Consumer Discretionary,1944887
ANET,Arista Networks Inc.,5.134299156956345e-4,Information Technology,566884
MOS,Mosaic Company,5.094267976269395e-4,Materials,3889897
NOV,National Oilwell Varco Inc.,5.087362597600897e-4,Energy,4167626
MAA,Mid-America Apartment Communities Inc.,5.086662051938876e-4,Real Estate,1241354
VNO,Vornado Realty Trust,5.058740303409729e-4,Real Estate,1888279
UHS,Universal Health Services Inc. Class B,5.047031183058795e-4,Health Care,943676
WYNN,Wynn Resorts Limited,5.031519100542603e-4,Consumer Discretionary,1074555
EMN,Eastman Chemical Company,5.017107875495302e-4,Materials,1547514
COG,Cabot Oil & Gas Corporation,5.010802964537107e-4,Energy,4841027
NBL,Noble Energy Inc.,4.99889368828274e-4,Energy,5260611
MLM,Martin Marietta Materials Inc.,4.971672485415614e-4,Materials,684592
TSCO,Tractor Supply Company,4.8308628073492725e-4,Consumer Discretionary,1332127
AKAM,Akamai Technologies Inc.,4.7789223504079563e-4,Information Technology,1798961
KSU,Kansas City Southern,4.7753195441461305e-4,Industrials,1119047
WDC,Western Digital Corporation,4.769014633187936e-4,Information Technology,3191211
