symbol,company,last.sale.price,market.cap,ipo.year,sector,industry
CHAC.U,Chardan Healthcare Acquisition Corp.,NA,NA,2018,NA,NA
CCF,Chase Corporation,98.4,$925.23M,NA,Consumer Durables,Building Products
CQP,"Cheniere Energy Partners, LP",39.98,$19.35B,2007,Public Utilities,Oil/Gas Transmission
LNG,"Cheniere Energy, Inc.",64.8,$16.65B,NA,Public Utilities,Oil/Gas Transmission
CVR,Chicago Rivet & Machine Co.,31.4363,$30.37M,NA,Technology,Industrial Machinery/Components
CPHI,"China Pharma Holdings, Inc.",0.299,$13.03M,NA,Health Care,Major Pharmaceuticals
CKX,"CKX Lands, Inc.",10.61,$20.61M,NA,Energy,Oil & Gas Production
GLV,Clough Global Dividend and Income Fund,10.8,$75.67M,2004,NA,NA
GLQ,Clough Global Equity Fund,11.98,$132.09M,2005,NA,NA
GLO,Clough Global Opportunities Fund,9.07,$292.28M,2006,NA,NA
COHN,Cohen & Company Inc.,8.2927,$10.08M,NA,Finance,Investment Bankers/Brokers/Service
MOC,Command Security Corporation,2.8,$28.38M,NA,Consumer Services,Diversified Commercial Services
CIX,CompX International Inc.,14.2,$176.58M,1998,Capital Goods,Industrial Machinery/Components
LODE,"Comstock Mining, Inc.",0.1389,$9.84M,NA,Basic Industries,Precious Metals
CDOR,"Condor Hospitality Trust, Inc.",8.52,$101.28M,NA,Consumer Services,Real Estate Investment Trusts
CTO,Consolidated-Tomoka Land Co.,63.55,$350.57M,NA,Finance,Real Estate
MCF,Contango Oil & Gas Company,3.93,$134.25M,NA,Energy,Oil & Gas Production
CUO,Continental Materials Corporation,14.7975,$25.12M,NA,Capital Goods,Building Materials
CMT,Core Molding Technologies Inc,8.31,$67.3M,NA,Consumer Non-Durables,Plastic Products
CVRS,"Corindus Vascular Robotics, Inc.",1.15,$220.02M,2015,Health Care,Medical/Dental Instruments
CRMD,CorMedix Inc,1.71,$183.91M,NA,Health Care,Major Pharmaceuticals
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",11.45,$259.15M,NA,NA,NA
CLM,"Cornerstone Strategic Value Fund, Inc.",11.73,$524M,1987,NA,NA
CVU,"CPI Aerostructures, Inc.",7.24,$84.91M,NA,Capital Goods,Military/Government/Technical
CIK,"Credit Suisse Asset Management Income Fund, Inc.",2.9,$151.68M,NA,NA,NA
DHY,Credit Suisse High Yield Bond Fund,2.3,$237.97M,1998,NA,NA
CRHM,CRH Medical Corporation,3.27,$237.23M,2015,Health Care,Medical/Dental Instruments
CTEK,"CynergisTek, Inc.",4.7,$45.2M,2017,Miscellaneous,Business Services
DXR,Daxor Corporation,14.5,$54.07M,NA,Health Care,Medical/Dental Instruments
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",13.72,$66.37M,1993,NA,NA
VFL,Delaware Investments Florida Insured Municipal Income Fund,12.3,$55.7M,1993,NA,NA
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",12.17,$140.02M,1993,NA,NA
DLA,"Delta Apparel, Inc.",20.2,$141.04M,NA,Consumer Non-Durables,Apparel
DNN,Denison Mine Corp,0.4914,$289.52M,NA,Basic Industries,Precious Metals
